Date,Open,High,Low,Close,Adj Close,Volume
"Sep 17, 2021",424.40,425.77,401.84,406.63,406.63,"1,516,642,578"
"Sep 16, 2021",431.29,433.19,416.18,424.65,424.65,"1,720,989,872"
"Sep 15, 2021",414.49,436.42,410.45,431.42,431.42,"1,838,828,414"
"Sep 14, 2021",399.21,414.32,396.42,414.24,414.24,"1,598,465,255"
"Sep 13, 2021",416.80,419.28,385.38,399.06,399.06,"2,194,763,765"
"Sep 12, 2021",405.40,421.21,398.03,416.68,416.68,"1,671,909,230"
"Sep 11, 2021",401.26,415.36,400.30,405.53,405.53,"1,567,255,682"
"Sep 10, 2021",421.27,438.92,394.06,401.62,401.62,"2,306,735,739"
"Sep 09, 2021",405.58,435.72,404.52,421.27,421.27,"2,392,139,922"
"Sep 08, 2021",417.92,425.49,384.23,415.11,415.11,"2,940,929,033"
"Sep 07, 2021",496.04,504.60,372.30,417.51,417.51,"4,471,687,569"
"Sep 06, 2021",504.70,508.82,488.68,495.93,495.93,"2,206,397,359"
"Sep 05, 2021",497.70,505.12,489.47,504.62,504.62,"1,899,639,214"
"Sep 04, 2021",488.41,510.06,485.86,498.08,498.08,"2,310,249,697"
"Sep 03, 2021",483.76,494.40,475.23,488.60,488.60,"2,051,522,050"
"Sep 02, 2021",489.86,504.54,480.04,483.92,483.92,"2,324,361,979"
"Sep 01, 2021",464.27,490.07,455.76,490.07,490.07,"2,303,587,593"
"Aug 31, 2021",460.62,477.28,452.49,464.42,464.42,"2,378,049,328"
"Aug 30, 2021",480.29,481.13,458.15,459.49,459.49,"2,007,036,766"
"Aug 29, 2021",486.21,495.68,477.20,480.28,480.28,"1,763,538,464"
"Aug 28, 2021",494.67,496.89,483.32,486.20,486.20,"1,676,741,698"
"Aug 27, 2021",478.63,495.01,467.90,494.50,494.50,"2,563,319,587"
"Aug 26, 2021",503.55,518.76,472.03,479.01,479.01,"3,277,913,533"
"Aug 25, 2021",472.20,506.30,470.64,502.79,502.79,"3,289,398,273"
"Aug 24, 2021",500.22,504.10,461.76,471.60,471.60,"2,978,438,301"
"Aug 23, 2021",449.11,509.34,447.67,499.89,499.89,"3,857,489,743"
"Aug 22, 2021",449.23,458.40,439.17,449.05,449.05,"1,826,865,701"
"Aug 21, 2021",455.13,460.26,444.98,448.92,448.92,"2,120,660,728"
"Aug 20, 2021",430.98,457.60,422.08,454.94,454.94,"2,451,578,694"
"Aug 19, 2021",396.49,431.26,391.50,430.99,430.99,"2,549,215,331"
"Aug 18, 2021",401.88,412.31,387.82,398.25,398.25,"2,288,117,050"
"Aug 17, 2021",416.07,435.72,399.75,401.91,401.91,"2,572,609,791"
"Aug 16, 2021",414.36,436.62,411.12,417.47,417.47,"2,620,571,467"
"Aug 15, 2021",408.98,414.93,396.87,414.60,414.60,"1,826,134,192"
"Aug 14, 2021",410.78,418.92,400.75,409.03,409.03,"2,023,364,348"
"Aug 13, 2021",386.04,411.17,383.22,410.94,410.94,"1,724,229,835"
"Aug 12, 2021",391.41,406.09,372.22,385.82,385.82,"2,217,067,872"
"Aug 11, 2021",372.09,408.59,371.22,391.76,391.76,"2,542,670,896"
"Aug 10, 2021",354.45,375.72,349.31,371.95,371.95,"2,150,475,826"
"Aug 09, 2021",341.92,357.40,333.67,354.97,354.97,"1,648,422,571"
"Aug 08, 2021",356.27,359.74,337.25,342.06,342.06,"1,547,133,821"
"Aug 07, 2021",342.38,359.75,340.59,355.74,355.74,"1,903,003,766"
"Aug 06, 2021",337.95,347.04,331.66,342.14,342.14,"1,623,970,506"
"Aug 05, 2021",334.91,340.05,323.90,337.87,337.87,"1,551,187,442"
"Aug 04, 2021",323.51,336.97,320.04,334.92,334.92,"1,279,262,186"
"Aug 03, 2021",330.87,334.63,318.06,322.75,322.75,"1,365,471,563"
"Aug 02, 2021",332.92,338.04,326.42,331.10,331.10,"1,348,495,243"
